,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
5359,22,73.99,2023-12-03 23:35:28 UTC,-67.81472919279729,2.9361939945055298,-55.98625413010637,-7.401049725097707,1
3190,23,87.98,2024-02-12 23:35:28 UTC,-71.23053494539805,-7.312410215636724,-62.41254791889669,-18.760151899693973,1
8034,24,58.08,2024-06-13 23:35:28 UTC,-70.98365324878164,1.5836040866024277,-65.5111500517447,-13.282751865755966,1
3908,25,71.91,2023-09-12 23:35:28 UTC,-41.798501022072045,-22.229430246291315,-36.50454364610647,-25.350878326706464,3
4726,26,49.12,2023-07-12 23:35:28 UTC,-57.17446427527152,2.541738822805243,-63.64006228145884,-10.878641725342494,1
7013,27,56.51,2023-07-13 23:35:28 UTC,-55.91922916746282,-25.24332333323867,-71.05565276657127,-26.497430096202464,2
3418,28,77.69,2023-09-17 23:35:28 UTC,-53.564430436190925,-9.677487125334302,-39.30361050805758,-17.96255670909327,2
9669,29,60.13,2023-12-25 23:35:28 UTC,-64.22492446493033,-31.06838724430701,-61.344585526279936,-15.333207344472822,3
9405,30,88.36,2024-04-11 23:35:28 UTC,-42.54349866244098,-21.428468868892494,-45.87380870792657,-15.834171520135264,3
1379,31,64.08,2024-02-20 23:35:28 UTC,-67.33505956026313,-23.233741280913478,-72.90729313487303,-23.955338224889395,1
6846,32,38.63,2023-09-09 23:35:28 UTC,-56.09912219607155,-27.157612033822318,-61.93728613108164,-26.0102054376803,1
8993,33,47.59,2024-02-18 23:35:28 UTC,-50.164742798517096,-5.8938801283423565,-49.50714215272227,-8.295433471387817,2
2115,34,56.19,2024-06-12 23:35:28 UTC,-67.00660350377107,-8.320868429367707,-56.86403112658311,-8.271388542128658,3
6884,35,72.75,2023-10-28 23:35:28 UTC,-73.17056761931254,-15.38697458357861,-73.39078113636225,-6.178099399601571,1
6803,36,31.53,2024-03-20 23:35:28 UTC,-44.76552508467653,-10.485885537129228,-43.75880404669661,-4.982367444038736,4
7306,37,46.36,2024-02-22 23:35:28 UTC,-57.91999117864364,5.218228794972674,-62.136479670081194,1.4991372457900454,2
7260,38,98.44,2023-10-02 23:35:28 UTC,-38.6643746221959,0.39781868977182455,-50.770926166511,-12.828474717176995,4
5684,39,86.9,2023-09-04 23:35:28 UTC,-63.21416307991851,-0.7401994847463698,-72.77023098730336,3.2401555943817257,1
4045,40,85.08,2023-07-29 23:35:28 UTC,-43.99308321427296,-11.131972503742546,-47.824994323343304,-27.409135108633706,3
8789,41,33.52,2024-02-07 23:35:28 UTC,-41.79460812439313,-26.02716340523453,-59.06890702601306,-24.50703251511912,2
7396,42,13.57,2024-05-12 23:35:28 UTC,-41.50149414555457,-20.386862402172532,-54.1585263838662,-32.8282243566882,4
1586,43,95.02,2024-04-01 23:35:28 UTC,-63.03795669272165,-11.542214807845557,-67.98231598974276,-22.207790324217374,4
4930,44,24.29,2024-04-30 23:35:28 UTC,-55.4777512856011,-17.569221489702578,-54.682641107769456,-32.95291894285831,3
8986,45,11.28,2024-02-26 23:35:28 UTC,-44.0042017988317,-11.83881110846157,-58.40214889832501,-19.593290554087467,4
3841,46,69.39,2023-09-09 23:35:28 UTC,-37.71782871740609,-24.313719788831033,-51.18284758516364,-25.30301883636255,1
9107,47,89.01,2024-04-02 23:35:28 UTC,-52.509779875291514,-3.9223537400000303,-67.61028647094514,-4.262800101731237,2
8663,48,36.01,2023-08-11 23:35:28 UTC,-45.1464644580693,-23.035098124339388,-44.28676562506277,-8.427421132645463,3
7639,49,14.73,2024-06-26 23:35:28 UTC,-46.03160643797641,-6.637339254848676,-57.46348531672804,-12.829525065315103,3
1922,50,62.82,2024-04-20 23:35:28 UTC,-65.72328400775261,-28.49159692915559,-70.29209954146211,-17.859119492700557,4
6712,51,95.15,2023-12-25 23:35:28 UTC,-57.981401717188014,-33.17673358525296,-54.907139725968506,-29.021720887899647,1
4324,52,48.08,2023-11-11 23:35:28 UTC,-73.61063847735359,-10.739836704601107,-61.360064660094885,-6.088663348580656,2
1270,53,26.07,2023-11-17 23:35:28 UTC,-35.066202095596196,-24.07447808039827,-38.93749112626468,-33.49594276192137,1
1425,54,27.91,2024-03-18 23:35:28 UTC,-35.81585854483733,-5.438734555293028,-35.05951370305223,-21.50246395229623,4
8171,55,63.43,2024-03-03 23:35:28 UTC,-69.17151620444366,-2.3582173447726476,-55.579334359393,0.7540410892136222,2
4069,56,21.86,2023-12-03 23:35:28 UTC,-59.2931705095545,-22.435870097961484,-68.03974725841138,-26.83072843318325,2
4120,57,24.54,2024-02-05 23:35:28 UTC,-36.78484926503821,-19.412733360996526,-46.595809763615634,-24.74848807441623,1
4270,58,15.67,2024-02-13 23:35:28 UTC,-39.87340548828376,4.472729204494698,-44.86393002465447,-9.073185344784829,4
9312,59,66.57,2024-01-17 23:35:28 UTC,-37.36073595257787,-26.210474586440224,-34.88042100434949,-10.355921896516993,1
6159,60,46.35,2023-12-07 23:35:28 UTC,-70.12542943673616,-6.802305254582333,-58.437987680493165,-15.697153458242497,2
9836,61,54.06,2024-02-15 23:35:28 UTC,-65.08626271698107,-31.689384726893042,-58.61346902196296,-20.516110598515965,4
8133,62,67.13,2024-04-09 23:35:28 UTC,-71.09414359769262,-22.13917526752499,-60.54774717880913,-31.683238182661114,3
6232,63,78.74,2023-09-09 23:35:28 UTC,-64.33908001014596,3.6794070196436692,-64.13548780668253,-9.420105432727532,4
8065,64,11.53,2023-10-17 23:35:28 UTC,-55.995085521238764,0.011375488966002933,-60.45564218941202,-1.4869532338143188,2
7442,65,11.32,2024-06-10 23:35:28 UTC,-52.059066247382106,4.347021292897168,-60.43241492015996,-9.462403640917081,3
1706,66,31.76,2024-06-04 23:35:28 UTC,-51.52985408038459,5.113908947640859,-45.23893002856084,-4.628984160008262,4
2736,67,99.14,2024-03-16 23:35:28 UTC,-65.83706530080875,-4.808344477503944,-49.401976343915564,2.472096413153153,4
5284,68,21.96,2023-11-30 23:35:28 UTC,-68.95666351589357,-29.76217613434028,-70.22262638632641,-27.148109191707697,1
6931,69,96.53,2024-04-12 23:35:28 UTC,-58.409125119760695,-5.088584786897311,-42.89677703140053,-6.33927097482335,3
8392,70,56.49,2024-02-11 23:35:28 UTC,-66.61332464781938,-22.05247454172443,-61.52904610053906,-28.978354631083803,3
9519,71,49.47,2023-10-24 23:35:28 UTC,-55.70220139969466,-10.409882783040771,-58.0268945406133,-13.64212159150846,4
3966,72,31.0,2023-07-11 23:35:28 UTC,-36.75307523944016,-24.06744345698514,-52.677471069820655,-25.11013629646045,2
5989,73,41.42,2023-11-03 23:35:28 UTC,-39.38009056507102,-33.45641091442859,-53.438908895427126,-23.46190310748684,3
8460,74,38.59,2023-10-18 23:35:28 UTC,-65.25066930340985,-4.447358623671015,-60.30414391761283,1.667007162679809,4
3807,75,39.22,2024-03-26 23:35:28 UTC,-36.93991883299497,-0.0965001021192009,-52.222459621620175,-1.657383845194282,2
6888,76,56.67,2024-03-04 23:35:28 UTC,-46.37622307037094,-25.446122535906373,-53.037489752520656,-24.544749355068294,2
3886,77,41.51,2024-02-03 23:35:28 UTC,-50.64408426924179,-2.5558589024893834,-62.818551736619376,-4.235752592345914,1
5877,78,63.95,2023-11-29 23:35:28 UTC,-37.51025310762049,-4.652330043613372,-39.48204348562602,-22.03030766663141,2
6279,79,56.38,2023-08-10 23:35:28 UTC,-35.65909718576964,-16.611928577088207,-44.879862488374215,-12.12182954074035,2
9339,80,32.47,2024-06-22 23:35:28 UTC,-72.42447546741907,-12.4485974261537,-66.56035601169678,-14.380587589617686,1
7167,81,62.68,2023-07-24 23:35:28 UTC,-38.5370840484456,-27.16771600906624,-45.08614695681747,-25.41401097057404,2
3780,82,56.99,2023-10-14 23:35:28 UTC,-53.297518059526666,-7.405695695869841,-57.712715822358696,3.564503093274034,1
3146,83,68.89,2023-07-31 23:35:28 UTC,-38.27612586818138,-13.975456790843918,-49.25676201103019,-21.880057055519014,3
1567,84,78.9,2024-04-06 23:35:28 UTC,-50.73338205245725,-32.47905048115003,-38.053480256592124,-29.573198441780466,4
8349,85,24.84,2023-12-16 23:35:28 UTC,-41.84490711105871,-15.198933649109701,-56.61798695258398,-11.511642737429987,4
8781,86,54.12,2024-05-18 23:35:28 UTC,-34.82395094717924,-13.11264580898446,-44.00389201541536,-19.932043900285564,2
1336,87,55.11,2024-01-26 23:35:28 UTC,-48.75328518408368,-1.1755973080814996,-58.852204791768564,-6.202959551986947,4
2586,88,57.98,2024-03-21 23:35:28 UTC,-47.945578920891634,-13.951682831883097,-49.44551591625791,-13.473362149149985,4
9228,89,42.84,2023-10-21 23:35:28 UTC,-53.76585701855421,-26.271978538047264,-35.926151168675275,-27.994153307462433,1
3253,90,97.42,2023-12-22 23:35:28 UTC,-60.303666779739615,1.8163445612694957,-67.39241962046694,4.2406719909570185,2
8040,91,76.25,2023-10-20 23:35:28 UTC,-52.98893846109148,-13.998197612265976,-36.391920459770255,-17.171954256714983,2
6998,92,33.63,2024-06-23 23:35:28 UTC,-70.77251456799183,-8.315550656994631,-73.14115055365862,-19.895222962287413,2
5499,93,17.68,2023-10-28 23:35:28 UTC,-51.15077250360397,-32.753923980817696,-43.032193661674484,-18.011574062348146,2
2251,94,28.08,2023-08-11 23:35:28 UTC,-52.24160538623967,-32.928531202083164,-45.02986558263228,-23.23168468321947,1
5479,95,59.45,2024-02-06 23:35:28 UTC,-54.31454145998726,-22.684148171855412,-41.56262410040218,-10.467312138658418,3
7858,96,84.68,2023-08-23 23:35:28 UTC,-66.94945212327897,5.015412717985647,-54.46320402546736,-1.9328425913314753,2
6522,97,66.52,2024-01-12 23:35:28 UTC,-44.502545753814466,2.199925204619184,-51.906851235485746,-12.558846707658091,3
2445,98,66.46,2023-11-18 23:35:28 UTC,-45.00122744366681,-2.052585389343559,-46.507332234921876,-5.482100266405428,3
5740,99,50.85,2024-01-12 23:35:28 UTC,-40.54227963685456,-31.79817898815138,-58.43101346142912,-31.717765031916823,2
1394,100,45.15,2024-06-29 23:35:28 UTC,-42.91483855181007,-11.93845107196275,-36.8358045588151,-5.07444893461096,2
3751,101,92.9,2024-02-25 23:35:28 UTC,-53.25806851671203,0.4952871695568888,-65.80097585025962,-8.526381557782752,4
3253,102,30.68,2023-09-20 23:35:28 UTC,-37.045364095627654,-26.964772677589618,-50.05544572083132,-24.13610435975361,1
8437,103,82.62,2024-05-11 23:35:28 UTC,-73.86694197937,-30.72727778705873,-66.50395612387403,-24.618206256861804,3
7064,104,91.85,2023-08-30 23:35:28 UTC,-59.93261680938523,3.6774711453564066,-58.94775655196466,-9.69742530801911,4
6866,105,44.43,2024-03-17 23:35:28 UTC,-50.91686171925814,-31.868763285318717,-62.12940113096002,-33.54271422679648,3
4734,106,83.11,2024-01-28 23:35:28 UTC,-69.18825270489572,-32.89616447641468,-69.05462961963899,-32.252938911322865,4
8798,107,49.98,2024-04-13 23:35:28 UTC,-45.819480221539784,-31.993202231789063,-51.57046092603767,-26.48910317325604,1
4101,108,20.43,2024-04-04 23:35:28 UTC,-37.550564036903566,-7.577536924181938,-45.713860912316676,-9.548722888409525,3
5180,109,87.52,2024-06-26 23:35:28 UTC,-47.88773683126483,-12.18278597551652,-37.680147333825886,-2.5286526723415896,4
9988,110,66.91,2023-08-19 23:35:28 UTC,-40.98534068738518,-28.480756659387716,-48.349053991838375,-13.7571026570645,4
7220,111,74.81,2023-09-27 23:35:28 UTC,-41.03740799460388,-19.20718203300841,-50.17878549212902,-5.115319596610863,1
7151,112,52.99,2023-08-02 23:35:28 UTC,-41.65434023077585,-30.929199183546494,-56.853679727302534,-33.140613677015885,4
8817,113,72.29,2023-07-19 23:35:28 UTC,-59.22598954543197,-5.639023163031357,-62.6672403556635,0.061057866554591556,3
2767,114,95.27,2023-11-30 23:35:28 UTC,-44.89074516990673,1.7708649855909755,-46.896040869723194,1.658120679596955,2
2460,115,49.43,2024-02-19 23:35:28 UTC,-62.1008606066246,-17.966485217955846,-55.27262186662074,-24.33863488980285,4
5840,116,93.63,2024-04-27 23:35:28 UTC,-55.87571377244096,-0.8847422906601992,-67.22883472130678,-3.7955681917933433,2
2373,117,71.33,2024-02-17 23:35:28 UTC,-48.09587214145965,2.735734333936932,-54.83026142614801,-7.882946380426134,1
7062,118,69.08,2024-04-12 23:35:28 UTC,-64.14767984240163,5.181553777540188,-65.15716912310867,3.6530485986590335,3
4570,119,63.97,2024-06-16 23:35:28 UTC,-72.63271350405655,-20.079183508143814,-69.77140907151431,-25.10905322416654,3
9121,120,78.37,2023-07-14 23:35:28 UTC,-71.7603096357065,-1.8617794239369232,-70.34443509311666,1.2240902757300915,2
4269,121,26.08,2024-03-07 23:35:28 UTC,-44.03675685324916,-16.573732239719256,-56.277984422219475,-7.744820696970752,3
1466,122,28.88,2023-09-18 23:35:28 UTC,-40.942471172181,-20.57003800802555,-38.40463094525028,-29.598859133688492,1
7574,123,32.77,2023-09-08 23:35:28 UTC,-55.60762156753245,-19.23401098732151,-64.0354479258524,-25.465177312699154,2
3990,124,16.72,2023-10-12 23:35:28 UTC,-43.129200796533155,-3.774722907397436,-54.75236774599796,-11.534093092780836,1
1487,125,22.49,2023-11-05 23:35:28 UTC,-64.72233870128431,-15.071328755523627,-56.53059248987719,-29.78420655492136,1
5587,126,85.07,2023-11-15 23:35:28 UTC,-59.55973087512003,-5.906734243137567,-73.54638284787691,0.530865702331738,3
7734,127,78.3,2023-07-12 23:35:28 UTC,-35.46265749466831,-2.2793066780817774,-40.40533972046742,2.740632069097259,2
5314,128,36.41,2023-09-01 23:35:28 UTC,-54.076020262631545,-30.543806465988716,-61.62162171924589,-24.923694062116343,1
5222,129,84.47,2024-03-26 23:35:28 UTC,-72.66883066206348,-32.7112493724738,-67.8393487979686,-33.03378446252364,4
6821,130,44.44,2023-07-29 23:35:28 UTC,-49.526615413296724,-19.985883280510173,-44.75625798423563,-33.42214282699955,2
2579,131,78.97,2024-06-23 23:35:28 UTC,-39.12253779169629,-1.2227380741146519,-52.410022021423835,-6.01508361218961,2
1939,132,10.64,2024-01-08 23:35:28 UTC,-51.55828510840891,-32.28001099562402,-47.311158585305066,-25.584161634891693,2
8173,133,44.43,2024-05-22 23:35:28 UTC,-61.92954248112446,-11.937734807301094,-71.75383660002026,-2.910164061518195,2
5520,134,83.05,2023-08-27 23:35:28 UTC,-73.29284633014355,-1.8905048963171573,-63.371887466918096,-2.935526051615483,2
4918,135,65.27,2023-12-17 23:35:28 UTC,-36.320230797229435,-1.845501037322606,-49.864628819707704,-5.547897420489985,4
1274,136,49.3,2023-09-18 23:35:28 UTC,-59.33429268378986,-15.773208026091446,-61.71507125528932,0.5375414252249016,1
4710,137,41.57,2024-05-18 23:35:28 UTC,-37.634332787101535,-21.242706055311572,-37.17673552345928,-32.1051239293812,4
4052,138,93.93,2023-10-25 23:35:28 UTC,-68.65244929890318,-7.453906930162898,-70.6458549816557,-23.259039243594025,2
4315,139,47.88,2024-04-15 23:35:28 UTC,-41.87854215579143,-12.12602731174806,-46.20127123323512,-18.197178908673482,4
7490,140,22.34,2023-08-08 23:35:28 UTC,-36.48720742661065,2.63066500084917,-48.248624677773606,-8.193554610457777,4
9926,141,56.69,2023-07-09 23:35:28 UTC,-64.68908595129639,-9.087566458888418,-64.1811184792243,-19.152902635358412,3
4086,142,69.41,2024-04-03 23:35:28 UTC,-49.10055759561456,-25.904742496165383,-47.39790203767806,-31.340177671981877,2
6612,143,87.98,2024-01-02 23:35:28 UTC,-34.98566562020509,-19.703705694500158,-47.36229180407688,-22.638250828623995,2
7545,144,38.99,2024-02-07 23:35:28 UTC,-39.14730058981161,1.6784428849744515,-39.824149063212396,-7.347843023106812,3
2050,145,12.66,2023-10-02 23:35:28 UTC,-72.95796567989649,3.320915983121253,-69.17315398662848,4.685245044479565,4
9355,146,26.66,2024-06-21 23:35:28 UTC,-70.50908774649236,-15.257866327446674,-57.86077100945519,-27.001616402068244,3
8799,147,46.16,2023-08-26 23:35:28 UTC,-70.20829070034914,-16.93815636697868,-57.759442615197,-16.31365643705545,4
2858,148,75.48,2024-04-26 23:35:28 UTC,-52.3717164814401,-26.31666536431863,-66.50656190403521,-21.90361924744147,2
7755,149,46.63,2024-05-31 23:35:28 UTC,-40.25643057526166,-11.689009905697386,-55.32398160469802,-18.38022720073814,2
5504,150,32.34,2023-11-28 23:35:28 UTC,-60.082884113678226,-33.453974588271016,-63.92088633305683,-23.67193318240468,4
7719,151,88.77,2024-03-31 23:35:28 UTC,-35.045772992338286,2.318455173956181,-51.265085665540795,2.1802283062108287,2
1492,152,18.49,2024-05-25 23:35:28 UTC,-57.595025005973554,0.45283375814858573,-44.168549769428026,-7.0804865141663065,2
8631,153,39.79,2024-01-23 23:35:28 UTC,-46.82865950580834,-30.213348609872824,-40.666242933335354,-26.143066783482702,3
1682,154,12.24,2024-03-27 23:35:28 UTC,-50.84129580593108,-17.303273069218637,-57.22804443859458,-21.451738546926414,3
9367,155,18.87,2024-06-25 23:35:28 UTC,-55.47954793777299,-33.274133923846065,-47.56001351512563,-28.2579659022665,2
8371,156,62.73,2024-01-14 23:35:28 UTC,-58.051081116984584,-17.657061339799302,-53.65340787693965,-29.994937340582602,2
6823,157,18.0,2023-08-25 23:35:28 UTC,-55.377651842144296,-0.22455797344213835,-50.08978610318199,-3.1276900758989576,3
6063,158,49.4,2023-08-28 23:35:28 UTC,-45.09398279739754,0.040033465942215685,-50.52927017936725,-2.6911784152746066,2
4792,159,75.26,2023-12-02 23:35:28 UTC,-47.24296176034401,-4.110698225457519,-49.22406411979654,-18.37874091341132,1
7016,160,33.75,2024-01-06 23:35:28 UTC,-35.250993089383336,-33.51610829298073,-47.71099311612262,-24.455639929930438,2
1368,161,11.85,2024-01-23 23:35:28 UTC,-56.89256616041349,-21.86618156968425,-49.40631049527792,-20.618518359957775,1
4319,162,69.48,2024-04-14 23:35:28 UTC,-55.37317027846842,-3.3688304669836704,-45.433836381174345,-18.246856088481255,3
4837,163,82.29,2023-12-19 23:35:28 UTC,-38.00074628634179,-30.188662651685732,-35.025710489789624,-21.49598596533164,3
4156,164,60.5,2023-09-19 23:35:28 UTC,-71.73571774381995,-0.5824987552663714,-54.48537936461924,2.4673272858828454,2
1861,165,30.46,2023-07-14 23:35:28 UTC,-51.5068452301428,5.006218262742408,-68.32688135064215,1.103846502741618,2
6449,166,72.67,2024-04-10 23:35:28 UTC,-53.81434670825581,-16.66356271386839,-49.08647810306981,-11.855055555780208,4
1287,167,19.68,2024-03-04 23:35:28 UTC,-67.56980516971598,-6.417862432657341,-57.81264379110204,-11.131227470217947,2
7466,168,67.15,2024-04-28 23:35:28 UTC,-51.34778211220643,-26.394728622750193,-41.38489528124252,-29.97808220742933,2
2354,169,77.76,2023-08-06 23:35:28 UTC,-54.22029914081958,-9.654313049615691,-51.367524904443314,-14.638435639063065,4
6461,170,77.86,2023-12-20 23:35:28 UTC,-72.73065404135014,-5.8456904618677505,-64.2423688882601,-6.946394775737161,3
5779,171,14.81,2023-12-20 23:35:28 UTC,-66.29199846450273,-3.8348857885132652,-59.005378330492235,1.9545959569942681,3
1644,172,95.18,2023-09-28 23:35:28 UTC,-44.207785825319945,-17.484788225036798,-44.46538957330303,-11.669847030331184,1
5790,173,53.5,2024-01-11 23:35:28 UTC,-58.59610288661879,-9.179116370498978,-54.644723837440274,-9.666314816403943,2
4847,174,67.96,2023-10-20 23:35:28 UTC,-41.7619689706352,-15.573560609548657,-35.72387168865813,-8.27156276119786,4
5415,175,66.88,2024-01-07 23:35:28 UTC,-41.18432596290374,-12.254938235274572,-54.475813972712274,-23.0791630799434,4
5564,176,73.69,2023-10-06 23:35:28 UTC,-71.21025045770796,-3.967728203955698,-59.41938092734785,-6.7162169017616264,1
1321,177,45.2,2024-03-21 23:35:28 UTC,-40.60870785998849,-32.468858018463806,-38.762260296150295,-23.422042561373843,3
5845,178,80.5,2024-04-12 23:35:28 UTC,-59.798704713870556,-8.599406313625348,-55.7883446678185,-17.589414132166127,3
1835,179,11.44,2024-01-19 23:35:28 UTC,-45.69607800617604,-25.50288090696577,-45.51895628056559,-19.206857899529822,3
5241,180,78.85,2023-09-21 23:35:28 UTC,-64.19890044130673,-33.68625639364516,-56.1049102922272,-33.37576151410224,4
7524,181,66.63,2023-09-24 23:35:28 UTC,-44.07833062750156,-32.232635727060554,-43.29142321754841,-18.48651523091373,2
6058,182,35.79,2024-02-03 23:35:28 UTC,-53.42686752689569,-27.25969063086269,-56.20890084733639,-26.15443601388471,4
5842,183,21.85,2024-03-30 23:35:28 UTC,-56.50913558370368,-21.449025688511753,-66.20486105601343,-14.777024015860235,2
5065,184,59.06,2023-09-13 23:35:28 UTC,-47.021629762327734,1.7493063966438527,-35.67028703411696,-11.5071405231023,4
8962,185,41.83,2024-06-17 23:35:28 UTC,-56.96399485719532,-18.048594971711964,-58.32713706548835,-8.532366322261499,1
9475,186,44.83,2023-09-09 23:35:28 UTC,-66.40077287404543,-29.15873598898709,-61.85527756435911,-24.90288478678351,1
6237,187,77.68,2024-05-27 23:35:28 UTC,-69.74027560250315,-27.17290202372139,-56.21396179631049,-24.504927506962233,1
9830,188,38.23,2023-11-22 23:35:28 UTC,-58.1600726877758,-7.808620475408247,-60.358666913300205,-16.62829511394531,1
4053,189,83.17,2024-05-10 23:35:28 UTC,-72.5824701470715,-2.767241692911618,-68.27923369389185,-11.526128670381869,1
1278,190,99.46,2023-11-30 23:35:28 UTC,-70.35232400141356,-14.267674986049993,-57.321016656395464,-25.222197000408293,2
3155,191,60.91,2023-07-30 23:35:28 UTC,-65.93049962371285,-4.83677115822417,-63.27223473316611,-13.129564977960737,1
6882,192,88.17,2024-06-30 23:35:28 UTC,-49.84030500516642,-32.26046040836421,-41.423227025877786,-29.82131670841051,3
9797,193,33.18,2024-01-05 23:35:28 UTC,-72.41668427227293,-4.0724770762767974,-62.27779727853947,-12.017863287556544,4
6258,194,31.79,2024-03-24 23:35:28 UTC,-36.536348407203235,-6.66387146888783,-43.933259716798474,4.071834438057763,3
9211,195,88.61,2023-10-22 23:35:28 UTC,-54.18977720151253,-13.00738938762358,-40.24924649185918,-7.759281245253337,4
9965,196,78.58,2023-10-16 23:35:28 UTC,-56.69703145279876,-16.730556715827912,-44.13380644859826,-10.912734661878865,3
8988,197,94.18,2023-10-15 23:35:28 UTC,-36.587459661580674,4.312347228764331,-35.98678753654586,1.7999312937938257,4
7209,198,37.2,2023-08-12 23:35:28 UTC,-47.263958692207126,-26.342663796737256,-54.16425490391104,-12.295495080691246,3
7112,199,62.47,2023-10-02 23:35:28 UTC,-62.98626498772843,1.6664483972696473,-67.3730352762915,-0.2175935430062168,1
4357,200,68.24,2023-10-20 23:35:28 UTC,-54.9397592234531,-8.894482000808352,-52.52575721567922,-8.534215743683884,3
9063,201,48.35,2024-06-03 23:35:28 UTC,-64.17745167150404,-10.9665368466901,-65.68134769922032,0.11444780641242147,4
1630,202,35.77,2023-11-01 23:35:28 UTC,-59.99573459838946,-4.703013141631349,-64.11623986205424,-19.79748287465221,3
1233,203,37.67,2023-08-18 23:35:28 UTC,-34.88358333201764,-33.36947433260175,-45.59739550559328,-32.972727898663166,1
3502,204,40.02,2024-04-15 23:35:28 UTC,-62.922531293110346,5.00006729024264,-60.531897055773285,-5.41997715966512,3
9758,205,24.88,2023-09-10 23:35:28 UTC,-72.90680330606844,-26.72003328547764,-57.14655173691326,-18.021067291929242,3
2166,206,84.12,2024-03-11 23:35:28 UTC,-38.52845161538402,-27.00368047631099,-37.110654101368674,-33.40101427074889,3
4724,207,93.59,2024-05-03 23:35:28 UTC,-61.09813095369723,-30.921805766229223,-68.11057088282894,-23.70693073205674,3
4565,208,78.23,2023-12-13 23:35:28 UTC,-67.98755405157759,-7.562476180586607,-56.78943322576747,2.937340263260012,3
7778,209,14.19,2023-07-11 23:35:28 UTC,-56.456111380630375,-6.184396398910227,-41.16122136720695,-6.637288714188241,2
1433,210,81.69,2023-10-25 23:35:28 UTC,-39.26476025157054,-3.9693904513394713,-52.15616803871987,-1.6110558766549943,3
8336,211,86.04,2024-05-08 23:35:28 UTC,-44.62459432459358,-1.9931601067344857,-57.04003282761954,-9.815400271984469,2
9148,212,88.91,2024-02-01 23:35:28 UTC,-47.15295074392784,-3.7655895418823278,-36.59219002040314,-16.639117637145556,2
4251,213,31.04,2024-06-28 23:35:28 UTC,-53.96590902643797,0.32557762352927,-66.52636772558664,2.866009875184403,1
8303,214,38.14,2024-02-13 23:35:28 UTC,-56.606573832921896,-25.79778337266705,-56.65908138121118,-26.120763350513847,2
1704,215,82.12,2024-04-03 23:35:28 UTC,-42.26881379325464,-13.55732493549224,-49.01707359860082,-27.036138879115818,2
1882,216,35.28,2024-05-16 23:35:28 UTC,-62.84960851214986,-9.451203534721891,-53.061402074852865,-16.350863106549653,2
